city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
The Lakes,The Lakes,MN,Minnesota,27101,Murray,27101,Murray,44.136,-95.7084,679,7,polygon,FALSE,FALSE,America/Chicago,3,56123 56175 56172 56132,1840032018
Garfield,Garfield,MN,Minnesota,27041,Douglas,27041,Douglas,45.9387,-95.4942,352,168,polygon,FALSE,TRUE,America/Chicago,3,56332,1840007770
Bigelow,Bigelow,MN,Minnesota,27105,Nobles,27105,Nobles,43.5053,-95.6892,235,230,polygon,FALSE,TRUE,America/Chicago,3,56117,1840006821
Rochester,Rochester,MN,Minnesota,27109,Olmsted,27109,Olmsted,44.0151,-92.4778,116713,809,polygon,FALSE,TRUE,America/Chicago,2,55902 55901 55906 55904 55905,1840008987
Dundas,Dundas,MN,Minnesota,27131,Rice,27131,Rice,44.4277,-93.2039,1519,319,polygon,FALSE,TRUE,America/Chicago,3,55019,1840007888
Strandquist,Strandquist,MN,Minnesota,27089,Marshall,27089,Marshall,48.4894,-96.4479,68,100,polygon,FALSE,TRUE,America/Chicago,3,56758,1840008820
Dayton,Dayton,MN,Minnesota,27053,Hennepin,27053|27171,Hennepin|Wright,45.1906,-93.4758,5791,95,polygon,FALSE,TRUE,America/Chicago,3,55369 55327,1840006750
Alpha,Alpha,MN,Minnesota,27063,Jackson,27063,Jackson,43.6382,-94.8708,120,305,polygon,FALSE,TRUE,America/Chicago,3,56111,1840006839
Pease,Pease,MN,Minnesota,27095,Mille Lacs,27095,Mille Lacs,45.6995,-93.649,231,168,polygon,FALSE,TRUE,America/Chicago,3,56353 56363,1840008868
Bellingham,Bellingham,MN,Minnesota,27073,Lac qui Parle,27073,Lac qui Parle,45.1366,-96.2841,151,150,polygon,FALSE,TRUE,America/Chicago,3,56212,1840006741
Cannon Falls,Cannon Falls,MN,Minnesota,27049,Goodhue,27049,Goodhue,44.5123,-92.9034,3911,351,polygon,FALSE,TRUE,America/Chicago,3,55009,1840006778
Okabena,Okabena,MN,Minnesota,27063,Jackson,27063,Jackson,43.7393,-95.3166,201,347,polygon,FALSE,TRUE,America/Chicago,3,56161,1840007941
Darwin,Darwin,MN,Minnesota,27093,Meeker,27093,Meeker,45.0968,-94.4136,353,67,polygon,FALSE,TRUE,America/Chicago,3,55324,1840006732
Lake Park,Lake Park,MN,Minnesota,27005,Becker,27005,Becker,46.884,-96.0988,801,318,polygon,FALSE,TRUE,America/Chicago,3,56554,1840007727
Louisburg,Louisburg,MN,Minnesota,27073,Lac qui Parle,27073,Lac qui Parle,45.1645,-96.1711,43,65,polygon,FALSE,TRUE,America/Chicago,3,56256,1840008919
New York Mills,New York Mills,MN,Minnesota,27111,Otter Tail,27111,Otter Tail,46.5211,-95.3725,1224,355,polygon,FALSE,TRUE,America/Chicago,3,56567,1840007748
Ruthton,Ruthton,MN,Minnesota,27117,Pipestone,27117,Pipestone,44.1776,-96.1035,223,148,polygon,FALSE,TRUE,America/Chicago,3,56170,1840008981
Finlayson,Finlayson,MN,Minnesota,27115,Pine,27115,Pine,46.2051,-92.9248,304,42,polygon,FALSE,TRUE,America/Chicago,3,55735,1840007752
Lakeland Shores,Lakeland Shores,MN,Minnesota,27163,Washington,27163,Washington,44.9478,-92.7612,315,378,polygon,FALSE,TRUE,America/Chicago,3,55043,1840007817
Altura,Altura,MN,Minnesota,27169,Winona,27169,Winona,44.0642,-91.9436,480,62,polygon,FALSE,TRUE,America/Chicago,3,55969 55910,1840006813
